Comment ID,Author,Comment,Published At
UgyY5fsR6vXLqUm9KFF4AaABAg,Krishan Wannigama,"Anyone who is struggling with trigger ,please make the trigger in s3 bucket . That will work perfectly",2023-09-27T09:29:09Z
Ugwj_n9-AyNCLkmWwTl4AaABAg,Shaun De Ponte,"You didn&#39;t answer the initial question as in video 1: How to categorise videos, based n their comments and stats and what factors affect how popular a youtube video will be",2023-09-17T19:21:10Z
UgzYeFPTd2PNVrYRPKN4AaABAg,KUNAL THAKUR,"I have set the Lambda function &quot;timeout&quot; duration to 10 min, but still gives me timeout error.<br>I have tried to increase the duration to 15 min also &amp; again it got failed.<br><br>Before timeout, the function created the parquet file in the destination folder, but no table was created in the glue catalog.<br>can someone help me to fix this issue?",2023-09-08T12:19:56Z
Ugwzu1KaMceJ4FqsaDJ4AaABAg,mudassir raza,"I have successfully completed this project.Thanks @DarshilParmar for creating video and i learn alot🥰🥰.<br>key Points:<br>In lamda General configuration  memoery =256MB .<br>In lamda layer aws wrnagler layer not present so you can add it by following link: <a href=""https://www.youtube.com/watch?v=Ofwblf_K408"">https://www.youtube.com/watch?v=Ofwblf_K408</a> <br>Also press deploy button before test.",2023-08-19T12:28:53Z
Ugzwr511AVygNVjqPkp4AaABAg,Imen BEN HASSINE,"@darshil thanks for the effort, great job!! I just finished the project and so proud of myself, my very first project switching from DA to DE. thanks a lot",2023-08-11T09:46:07Z
UgzkCFw_8P884SDNnb54AaABAg,Harshit Joshi,"To the folks struggling with glue script to filter regions out: try deleting the region files manually from S3 (make sure to enable bucket versioning so that objects are not permanently deleted). By doing this you can check if rest of your code is good, and even go on with rest of the video if its working.",2023-08-03T05:00:12Z
Ugwye932x3355KxC4BN4AaABAg,The Professor,Just finished the project; Amazing work man!!!,2023-07-24T14:47:47Z
Ugzi978MS2cEkfv9GeV4AaABAg,Diyi,"When I tried to open job legacy I faced the error: This page has been removed from AWS Glue.<br>For jobs and connections, if you are not using the Glue IAM policy for &quot;useGlueStudio,&quot; you may need updated IAM permissions to use the new jobs page. Read more about the minimum permission requirements in the documentation.",2023-07-18T04:25:46Z
UgzckeKOpeL4d1oDbzx4AaABAg,Bobby Loxley,"It seems like for me at the <a href=""https://www.youtube.com/watch?v=qFaaKme5eDE&amp;t=28m26s"">28:26</a> the parquet files didn&#39;t transformed. I checked the trigger and the region but still no finding solution. Do anyone has any idea ?",2023-07-07T08:21:40Z
Ugy0NiQ4roNaoQEZrX94AaABAg,18uee086 abhishek kr sahu,"Hi @anyone who completed the project, can please help me ? Ping ur mobile number, please. Thanks in advance.",2023-07-05T16:16:00Z
UgxNnjPtgXOJ9Bj-Uzh4AaABAg,18uee086 abhishek kr sahu,Where is the discord link?,2023-07-04T17:30:25Z
UgwH4QHcnKXdf_VqBrZ4AaABAg,Nguyen Tien Su,"When my lambda function is triggered by an S3 event, the cleaned_statistics_reference_data table is created. But when I check by SQL command &quot;SELECT * FROM cleaned_statistics_reference_data&quot;, the result is an empty table. I tested the lambda function with a test event, and everything is OK (there is data in the cleaned_statistics_reference_data table). Please help me with a solution! Thank you!",2023-05-17T18:22:15Z
